Product Name,Designer,Description,Price,Image Path
"SMALL TABLES
6 6 
 
Eileen Desk","ANTONIO CITTERIO
  D","Designed for those who love comfort and modernity, inten-
ded to be an evergreen, the Michel seating system mirrors 
the design philosophy of its designer who shows a preferen-
ce for simple shapes - pure and elegant in their linear form 
without any additional decoration to underscore the concept 
of function. The many elements can create both formal and 
social configurations in an extensive range of sizes.
Spora 2Feet Black chromed
Comes with 
M60CP (x3) - Michel back cushions w roller 24 x 24 
2OF5540 (x2) - Optional cushions 24 x 16
Spora 1Feet Bronze nickel
Layout 1 M231TD9M231CHS
Layout 2 M231TS9M231CHD
2 2 
 
 
Michel","$7,648",static/images\image_0_10.png
Mirto Indoor,"ANTONIO CITTERIO
S","Sectional sofa
Spora 200, Black chrome frame - 22,8Limited Quantities
Sectional sofa
Spora 153, Bronze nickel frame - 22,8Limited Quantities
2 2 
 
Dives","$11,876",static/images\image_3_0.png
"COMPLEMENTS
8 8 
 
Dado","ANTONIO CITTERIO
  D","Dives is the ultimate sofa, whose image is enhanced 
by the armrest that has a taut cover on the outside, and 
a quilted effect on the inside inspired by the classic 
chesterfield sofa. The point where the two finishes meet 
on the armrest is highlighted by a blanket stitch detail, 
which is also the profile for the cushions. 
Elettra 2Feet Black 
shellac
Comes with 
one 19 x 19 pillow 
as shown on this page 
Thread
Smoke grey
3 3 Straight sofa - Elettra 2Limted quantities","$22,858",static/images\image_3_1.png
Madison Mirror,"ANTONIO CITTERIO
  O","Otium is a new seating system that stands out for its 
contemporary classic style, generous proportions and 
great comfort. Available in various sizes and two seat 
depths, this modular line offers multiple linear and an-
gular compositions, also with terminal elements with ot-
tomans. Highly distinctive details are the tapered ar-
mrests and the faux leather trimmings that outline and 
embellish the armrests and the seat and backrest 
cushions. The base is defined by a metal profile in 
black chrome or bronze nickel.
Comes with 
90x60cm back cushions (x2)
60x60cm back cushions (x2)
48x48cm optional cushions- box style (x2)
Sofa & 90x60cm 
back & optional 
cushion Sirtaki 2Profile Tortora color
60x60cm back
cushions Licata 1Frame Graphite painted
3 3 Straight sofa","$22,858",static/images\image_3_2.jpeg
Timo Rug,"NAOTO FUKASAWA
  I","If the wings of Grande Papilio protect the head of the 
user, those of Piccola Papilio support the back, creating 
a seat that, despite the small size, precisely responds 
to the demand for comfort. The truncated cone shape is 
unchanged, and there is still a zip on the rear of the 
backrest. It can fit into small rooms or even be arranged 
in a row. It also has a swivel system.
Serra 1Piccola Papilio
Limited quantities
 3,43 3 
 
Husk","$13,239",static/images\image_3_3.png
Milos Rug,PATRICIA URQUIOLA,"Those who look at a sofa must visually perceive a 
sense of both mental and physical comfort. Patricia Ur-
quiola has conveyed this concept to the armchair Husk 
by designing a stiff body made of Hirek that con-
tains a soft cushion divided into portions, which seem 
to underscore its ergonomic profile. It is endowed with 
an original spirit that merges with various styles. Three 
cushion types standard, which is large and enveloping, 
or headrest. With our without an ottoman as footrest.
Beta 3Grey oak
Black shell
3 3 Husk
Armchair & Ottoman
 8,5 
 
Serie UP 2000","$14,242",static/images\image_4_0.png
Ray Outdoor Fabric,"GAETANO PESCE
  T","The Up Series was designed in 1969 and has 
remained an iconic design piece within the B&B 
Italia collection. 
The Up56 armchair, known for its striking repre-
sentation of feminine strength and struggle, con-
tinues to be meaningful and relevant. It reflects 
a world sensibility with symbolism, irony, beauty 
and is truly the epitome of a timeless design. 
Lora 1Soara 1Soara 1Limited quantities
UP5Lora 150 - 6,73 UP56 
Limited quantities 
Soara 170 - 5,9UP5Soara 140 - 5,93 
 
Apollo","$3,449",static/images\image_4_1.png
Mirto Outdoor Chaise Lounge,"ANTONIO CITTERIO
  L","Linear sofa in two sizes, curved sofa, sofa with chaise longue, 
dormeuse and swivel armchair these are the different elemen-
ts that make up this seating collection with its distinct personali-
ty. They all have pleasantly curved but rigorous form, creating a 
very harmonious balanced aesthetic. The backrest design, seat 
depth, contoured shapes and generous padding are all elemen-
ts that make Apollo extremely welcoming and comfortable. A rich 
selection of upholstery includes a wide range of fine fabrics and 
leathers. The fabric covers are further embellished with relief sti-
tching, while the leather covers feature elegant envelope stit-
ching. The structure is defined by a painted aluminiumborder in 
a range of sophisticated colours bronzed nickel, black chrome, 
graphite and amber.
Saffira 1Base Graphite painted
Armchair
Saffira 153 - 4,84 4 
 
CHAIRS STOOLS
4 4 
 
Husk Chair","$8,546",static/images\image_4_2.jpeg
Erica,"PATRICIA URQUIOLA
  C","Comfortable, with a modern combination of base 
and seat, it picks up the profile of the namesake arm-
chair. The body, which is shaped with a design that cites 
the capitonn style, conveys a feeling of softness the 
cushions, in fabric or leather, fixed with press studs, are 
distinguished by the quilting. Many colour variants and 
combinations.
Edit 2Frame Black painted
Back White Shell
4 4 Husk Chair
 1,9 
 
Charlotte","$6,738",static/images\image_4_3.jpeg
Husk Outdoor,"ANTONIO CITTERIO
  C","Charlotte by Antonio Citterio is a tribute to lightness. The 
shell is completely covered, but the frame profile is visible on 
the chair side, thus highlighting the line of the seat. The cover 
is in raw cut full grain leather. 
Seat Black 
embossed thick 
leather
Frame 0170M
Black chrome 
Charlotte Chair
 2,04 4 
 
Papilio Stool","$5,963",static/images\image_5_0.png
Husk Outdoor,"ANTONIO CITTERIO
  N","Naoto Fukasawa, who favours the comfort of th is product 
over the shape of the design, says, I wanted the seat to look 
naturally comfortable, with the same shape relaxation would 
have if it were depicted with an image. The wings - armrests 
-placed on the sides of the seat enhance the comfortable feel. 
They support both sides and back of the stool. 
Seat Este 150 
Frame 0178C
Black chrome 
4 4 Low Stool
 1,0High Stool
 1,0 
 
Caratos Chair","$5,963",static/images\image_5_1.png
Link Outdoor,"ANTONIO CITTERIO
 C","Chairs in two versions, armchairs, ottomans and coffee 
tables are the new proposals that extend the Caratos series 
launched last year. These new items both reflect and stren-
gthen the original designs essential features while softening 
them by introducing embracing shapes. The light die-cast 
graphite or amber painted aluminium structure is retained, 
while padded backrests contribute to the formation of the ar-
mrests, creating seating with no postural restrictions at all, en-
couraging conversation and relations between neighbours. 
The ottomans and coffee tables echo the design of the frames 
and are ideal complements to the seats to create conversa-
tion areas and social settings.reveal new future surprises.
Lodi 2Frame Graphite painted
Caratos Chair","$4,830",static/images\image_5_2.png
Tobi-Ishi Outdoor,"ANTONIO CITTERIO
 T","The Caratos range has grown and is ever expanding - pro-
viding a rich collection of ideas for the most diverse environ-
ments. The common thread of each piece is their recogni-
sable die-cast aluminium base. In addition to the chairs and 
armchairs presented in 2017, Caratos presents a small arm-
chair with armrest, an armchair, a tub armchair, two stools with 
swivel seats, a bench, an ottoman and a coffee table. The 
graphite and amber metal frames are accompanied by blue, 
amaranth, and cream painting, which complement the fabric 
covers. Noteworthy is the introduction of a soft, deep pile wool 
velvet that creates a teddy bear effect. With this new collec-
tion, Caratos proves to be a group of flexible products that will 
reveal new future surprises.
Edit 2Lower frame
Bright brushed
Frame Graphite painted
Caratos High Low Stool","$1,976",static/images\image_5_3.png
Awa Outdoor,"ANTONIO CITTERIO
 A","A sheet of leather pinched in two places at the base here 
is where the movement and natural inclination of the Alys hea-
dboard originate. The Buratti brothers are once again mana-
ging a material that they know well because theyve alrea-
dy used it on the Doyl chair when they explored the theme of 
upholstered leather, made more comfortable than with traditio-
nal processes. For Alys, they designed a comfortable, protec-
tive headboard, a very effective shape that has thin perimeter 
strips marked by a lengthwise seam. The bed frame can be 
placed at two different heights, thanks to a standard equip-
ment made of two sets of feet (h. 5cm or 15cm). The bed sur-
face was designed to be low specifically to suggest an effect 
of suspension and floating of the super-comfortable mattress.
Tortora 2Thick leather
Alys Bed
Queen size - 11,153 
King size - 12,527 
5 5 
 
Charles","$2,081",static/images\image_5_4.png
Colosseo Outdoor,"ANTONIO CITTERIO
 T","The Charles bed conserves the classic inverted-L shaped 
aluminium feet that are the distinguishing trait of the entire 
product family. The Charles uses a pressed and curved bee-
chwood slatted base to provide in dependent sup portfor-
co nti n ued comfort. King and Queen sizes available trough 
quick ship program. 
Edit 1Edit 3Limited quanitities
Feet 0189A
Bright brushed
5 5 
 
Charles","$1,040",static/images\image_5_5.jpeg
Fat-fat Outdoor,"ANTONIO CITTERIO
C","Charles - Edit 1Queen size - 6,5King size - 7,0Charles - Edit 3Limited quantities
Queen size - 6,5King size - 7,06 6 
 
Richard","$1,040",static/images\image_5_6.jpeg
Frank Outdoor,"ANTONIO CITTERIO
  T","The design of the new Richard bed is defined by a high 
bed side running along the perimeter of the bed and the sar-
torial detail of stitching with the insertion of a raw cut profile. 
The height of the lateral bed sides allows inserting any type 
of mattress supports, from metal to wooden slatted base or 
an under mattress with springs, or slatted base with manual 
mechanism.
Astro 2Feet 0150L 
Black painted
Profile Black
Richard Bed - Astro 2Queen size - 7,7King size - 8,26 6 
 
Febo","$2,196",static/images\image_5_7.png
